"denuncia_numero","hecho_fecha_hora","hecho_provincia","hecho_municipio","hecho_localidad","hecho_discriminacion","hecho_irregularidades","hecho_lugar","hecho_cometido_por","hecho_tipo_violencia","hecho_accion_realizada","denuncia_estado","denuncia_fecha_cambio_estado","denuncia_via_ingreso","denuncia_fecha_hora_carga","hecho_provincia_id"
1522,"2019-07-28 05:00:00","Santa Fe","Capitán Bermúdez","Capitán Bermúdez","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación","","","Agresión verbal - Agresión física","","Derivado","2019-08-07","Página web de RENCAP ","2019-07-30 20:24:00","82"
1523,"2019-08-04 18:09:00","Misiones","Comandante Andrés Guacurari","ALMIRANTE BROWN","","No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el interior del local","Controladores - Policias","","Se hizo denuncia policial","Derivado","2019-08-05","Página web de RENCAP ","2019-08-04 18:12:00","54"
1524,"2019-08-04 17:18:00","Buenos Aires","Ramallo","Perez Millán","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","","Controladores","Agresión verbal - Agresión física","","Derivado","2019-08-16","Página web de RENCAP ","2019-08-05 05:20:00","06"
1525,"2019-08-03 11:00:00","Mendoza","Maipú","MAIPU","Por aspecto físico","No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores","Agresión verbal","","Derivado","2019-08-05","Página web de RENCAP ","2019-08-05 13:19:00","50"
1526,"2019-08-10 02:00:00","Buenos Aires","Lanús","Lanús","Por aspecto físico","","En el acceso local","Controladores","","","Desestimado","2019-09-16","Página web de RENCAP ","2019-08-10 07:09:00","06"
1527,"2019-07-06 06:30:00","Ciudad Autónoma de Buenos Aires","Barrio Balvanera","","Otros","Presencia de menores","En el interior del local - En el acceso local","Personal de empresas de seguridad","Agresión verbal - Agresión física","","Derivado","2019-08-28","Página web de RENCAP ","2019-08-27 03:49:00","02"
1528,"2019-09-14 03:30:00","Córdoba","Córdoba","CORDOBA","","El personal de control no esta identificado","En el interior del local","Personal de empresas de seguridad","Agresión física","","Derivado","2019-09-17","Página web de RENCAP ","2019-09-14 09:13:00","14"
1529,"2019-09-13 00:45:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Capital Federal","Por aspecto físico - Por indumentaria - Otros","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","","Controladores - Personal de empresas de seguridad","","","Desestimado","2019-10-03","Página web de RENCAP ","2019-09-14 09:36:00","02"
1530,"2019-09-21 03:04:00","Buenos Aires","Quilmes","Quilmes","Otros","","En el interior del local","Controladores","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2019-10-02","Página web de RENCAP ","2019-09-21 06:13:00","06"
1531,"2019-09-27 22:22:00","Ciudad Autónoma de Buenos Aires","Barrio Recoleta","","","","En las proximidades del local","Personal de empresas de seguridad","Agresión física","","Derivado","2019-10-01","Página web de RENCAP ","2019-09-30 23:11:00","02"
1537,"2019-09-22 02:00:00","Santa Fe","Rosario","Rosario","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","Personal de empresas de seguridad","","","Derivado","2019-10-15","Call Center","2019-10-09 12:05:00","82"
1538,"2019-09-22 01:30:00","Santa Fe","Rosario","Rosario","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","Personal de empresas de seguridad","","","Derivado","2019-10-15","Call Center","2019-10-09 12:07:00","82"
1539,"2019-10-06 04:24:00","Buenos Aires","La Matanza","Ramos Mejía","Otros","El personal de control no esta identificado","En el interior del local","Personal de empresas de seguridad","Agresión verbal - Agresión física","","Derivado","2019-10-16","Página web de RENCAP ","2019-10-09 12:29:00","06"
1542,"2019-10-19 01:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Capital Federal","Otros","No exhibe condiciones de adminsión y permanencia","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2019-11-04","Página web de RENCAP ","2019-10-20 14:00:00","02"
1543,"2019-10-20 05:30:00","Ciudad Autónoma de Buenos Aires","Barrio Liniers","","","","En el interior del local","Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2019-11-06","Página web de RENCAP ","2019-10-20 20:40:00","02"
1544,"2019-10-20 05:53:00","Buenos Aires","General Las Heras","Gral. Las Heras","","El personal de control no esta identificado","En el acceso local","","Agresión física","","Derivado","2019-10-23","Página web de RENCAP ","2019-10-21 08:54:00","06"
1545,"2019-10-25 01:45:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Por aspecto físico - Por indumentaria - Otros","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Derivado","2019-10-31","Página web de RENCAP ","2019-10-26 14:10:00","02"
1554,"2019-10-27 02:00:00","Buenos Aires","José C. Paz","José C. Paz","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación - Presencia de menores","","","","","Derivado","2019-11-04","Página web de RENCAP ","2019-11-01 14:23:00","06"
1555,"2019-11-03 05:30:00","Buenos Aires","Moreno","Moreno","","","En el interior del local","Personas vinculadas a la empresa","Agresión física","","Derivado","2019-12-05","Página web de RENCAP ","2019-11-03 20:48:00","06"
1556,"2019-11-08 02:40:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Otros","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2019-11-12","Página web de RENCAP ","2019-11-08 07:10:00","02"
1557,"2019-11-10 12:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Villa Urquiza","Por aspecto físico","No exhibe condiciones de adminsión y permanencia","En el acceso local","Personas vinculadas a la empresa","Agresión física","Se solicitó asistencia policial","Derivado","2019-11-12","Página web de RENCAP ","2019-11-11 12:26:00","02"
1558,"2019-11-12 00:00:00","Buenos Aires","General San Martín","Gral. San Martín","Por aspecto físico","Presencia de menores","En el acceso local","Personal de empresas de seguridad","","","Derivado","2019-11-12","Página web de RENCAP ","2019-11-12 02:42:00","06"
1559,"2019-11-12 00:00:00","Buenos Aires","General San Martín","Gral. San Martín","Por aspecto físico","Presencia de menores","En el acceso local","Personal de empresas de seguridad","","","Desestimado","2019-12-02","Página web de RENCAP ","2019-11-12 02:43:00","06"
1560,"2019-11-12 00:00:00","Buenos Aires","General San Martín","Gral. San Martín","Por aspecto físico","Presencia de menores","En el acceso local","Personal de empresas de seguridad","","","Desestimado","2019-12-02","Página web de RENCAP ","2019-11-12 02:44:00","06"
1561,"2019-11-14 03:30:00","Mendoza","Guaymallén","GUAYMALLEN","Otros","","En el interior del local","Controladores","Agresión física","","Derivado","2019-11-15","Página web de RENCAP ","2019-11-14 13:47:00","50"
1562,"2019-11-20 03:00:00","Buenos Aires","Malvinas Argentinas","Los Polvorines","Otros","","En el interior del local","Controladores","Agresión física - Agresión sexual","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2019-12-02","Página web de RENCAP ","2019-11-27 06:42:00","06"
1563,"2019-12-08 04:00:00","Buenos Aires","Quilmes","Quilmes","Otros","Hay mas personas que las permitidas por la habilitación - Presencia de menores","En el interior del local - En las proximidades del local","Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Desestimado","2020-01-09","Página web de RENCAP ","2019-12-08 22:41:00","06"
1566,"2019-12-06 01:25:00","Mendoza","Godoy Cruz","GODOY CRUZ","Por aspecto físico","El personal de control no esta identificado","En el acceso local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2019-12-18","Página web de RENCAP ","2019-12-13 15:01:00","50"
1567,"2019-12-21 02:15:00","Buenos Aires","Malvinas Argentinas","Los Polvorines","Por aspecto físico - Por indumentaria","No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación - Presencia de menores","","Personal de empresas de seguridad","Agresión verbal","","Desestimado","2020-01-09","Página web de RENCAP ","2019-12-26 11:49:00","06"
1568,"2019-12-21 02:14:00","Buenos Aires","Malvinas Argentinas","Los Polvorines","Por aspecto físico - Por indumentaria","Hay mas personas que las permitidas por la habilitación - Presencia de menores","","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2020-01-08","Página web de RENCAP ","2019-12-26 11:57:00","06"
1572,"2019-12-27 04:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","","Otros","El personal de control no esta identificado","En el acceso local","Controladores","","","Desestimado","2020-01-09","Página web de RENCAP ","2019-12-30 13:53:00","02"
1573,"2019-09-10 20:00:00","Buenos Aires","Guaminí","Laguna Alsina","Otros","No exhibe condiciones de adminsión y permanencia - Presencia de menores","En las proximidades del local","Personal de empresas de seguridad - Personas vinculadas a la empresa","","Se solicitó asistencia policial","Derivado","2020-01-03","Página web de RENCAP ","2019-12-31 09:33:00","06"
1574,"2019-09-15 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Crespo","","Otros","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el interior del local","Controladores","Agresión verbal","","Derivado","2020-01-21","Página web de RENCAP ","2020-01-03 14:32:00","02"
1575,"2020-01-04 05:00:00","Córdoba","Alpa Corral","ALPA CORRAL","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","","Controladores","Agresión verbal - Agresión física","","Derivado","2020-01-15","Página web de RENCAP ","2020-01-04 07:16:00","14"
1576,"2020-01-23 17:45:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Retiro","Por aspecto físico - Otros","","En el acceso local","Personal de empresas de seguridad","Agresión verbal","Se hizo denuncia ante la fiscalia","Desestimado","2020-02-04","Página web de RENCAP ","2020-01-24 12:03:00","02"
1577,"2020-02-08 00:42:00","Buenos Aires","San Miguel","San Miguel","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el interior del local","Controladores","","","Desestimado","2020-03-13","Página web de RENCAP ","2020-02-12 20:43:00","06"
1578,"2020-02-08 23:21:00","Buenos Aires","San Miguel","San Miguel","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","Controladores - Personal de empresas de seguridad","Agresión verbal","","Derivado","2020-02-18","Página web de RENCAP ","2020-02-14 13:28:00","06"
1579,"2020-02-15 04:50:00","Santa Fe","Rosario","Rosario","","","En el interior del local","Controladores - Personal de empresas de seguridad","Agresión verbal - Agresión física","","Desestimado","2020-03-13","Página web de RENCAP ","2020-02-16 07:59:00","82"
1587,"2020-03-10 23:37:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","","","Hay mas personas que las permitidas por la habilitación - Presencia de menores","","","","","Derivado","2020-03-18","Página web de RENCAP ","2020-03-14 19:39:00","02"
1588,"2020-04-10 18:08:00","Buenos Aires","Hurlingham","William Morris","Otros","","","","Agresión verbal","","Desestimado","2020-04-13","Página web de RENCAP ","2020-04-10 23:13:00","06"
1589,"2020-04-08 10:21:00","Buenos Aires","La Plata","Barrio Las Malvinas","Otros","","","","","","Desestimado","2020-04-15","Página web de RENCAP ","2020-04-14 10:21:00","06"
1590,"2019-12-12 23:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Controladores - Personal de empresas de seguridad","Agresión verbal - Agresión física","Se hizo denuncia policial - Se hizo denuncia ante la fiscalia","Derivado","2020-12-17","Página web de RENCAP ","2020-05-12 14:42:00","02"
1591,"2020-07-05 21:41:00","Mendoza","Godoy Cruz","GODOY CRUZ","Otros","","","","","","Desestimado","2020-07-20","Página web de RENCAP ","2020-07-05 21:45:00","50"
1592,"2020-06-26 09:13:00","Santa Fe","Rosario","Rosario","","","En el interior del local","Personas vinculadas a la empresa","Agresión verbal","Se hizo denuncia policial","Desestimado","2020-08-03","Página web de RENCAP ","2020-07-20 14:18:00","82"
1593,"2020-07-18 09:00:00","Ciudad Autónoma de Buenos Aires","Barrio Saavedra","","","No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación","En el interior del local","Personas vinculadas a la empresa","","","Desestimado","2020-08-04","Página web de RENCAP ","2020-07-31 11:11:00","02"
1594,"2021-03-13 21:59:00","Buenos Aires","Tres de Febrero","Ciudadela","Otros","","En el interior del local","Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Derivado","2021-03-22","Página web de RENCAP ","2021-03-13 23:00:00","06"
